名	メイ ・ ミョウ ・ な ・ -な	name; noted; distinguished; reputation	general
命	メイ ・ ミョウ ・ いのち	fate; command; decree; destiny; life; appoint	general
明	メイ ・ ミョウ ・ ミン ・ あかり ・ あかるい ・ あかるむ ・ あからむ ・ あきらか ・ あける ・ -あけ ・ あく ・ あくる ・ 	bright; light	general
面	メン ・ ベン ・ おも ・ おもて ・ つら	mask; face; features; surface	general
味	ミ ・ あじ ・ あじわう	flavor; taste	general
民	ミン ・ たみ	people; nation; subjects	general
務	ム ・ つとめる	task; duties	general
無	ム ・ ブ ・ ない	nothingness; none; ain't; nothing; nil; not	general
毎	マイ ・ ごと ・ -ごとに	every	general
末	マツ ・ バツ ・ すえ	end; close; tip; powder; posterity	general
万	マン ・ バン ・ よろず	ten thousand	general
補	ホ ・ おぎなう	supplement; supply; make good; offset; compensate; assistant; learner	general
報	ホウ ・ むくいる	report; news; reward; retribution	general
放	ホウ ・ はなす ・ -っぱなし ・ はなつ ・ はなれる ・ こく ・ ほうる	set free; release; fire; shoot; emit; banish; liberate	general
方	ホウ ・ かた ・ -かた ・ -がた	direction; person; alternative	general
法	ホウ ・ ハッ ・ ホッ ・ フラン ・ のり	method; law; rule; principle; model; system	general
訪	ホウ ・ おとずれる ・ たずねる ・ とう	call on; visit; look up; offer sympathy	general
望	ボウ ・ モウ ・ のぞむ ・ もち	ambition; full moon; hope; desire; aspire to; expect	general
防	ボウ ・ ふせぐ	ward off; defend; protect; resist	general
北	ホク ・ きた	north	general
本	ホン ・ もと	book; present; main; true; real; counter for long cylindrical things	general
保	ホ ・ ホウ ・ たもつ	protect; guarantee; keep; preserve; sustain; support	general
文	ブン ・ モン ・ ふみ ・ あや	sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67)	general
聞	ブン ・ モン ・ きく ・ きこえる	hear; ask; listen	general
平	ヘイ ・ ビョウ ・ ヒョウ ・ たいら ・ -だいら ・ ひら ・ ひら-	even; flat; peace	general
米	ベイ ・ マイ ・ メエトル ・ こめ ・ よね	rice; USA; metre	general
別	ベツ ・ わかれる ・ わける	separate; branch off; diverge; fork; another; extra; specially	general
変	ヘン ・ かわる ・ かわり ・ かえる	unusual; change; strange	general
辺	ヘン ・ あたり ・ ほとり ・ -べ	environs; boundary; border; vicinity	general
負	フ ・ まける ・ まかす ・ おう	defeat; negative; -; minus; bear; owe; assume a responsibility	general
武	ブ ・ ム ・ たけし	warrior; military; chivalry; arms	general
部	ブ ・ -べ	section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine	general
副	フク	vice-; duplicate; copy	general
復	フク ・ また	restore; return to; revert; resume	general
福	フク	blessing; fortune; luck; wealth	general
物	ブツ ・ モツ ・ もの ・ もの-	thing; object; matter	general
分	ブン ・ フン ・ ブ ・ わける ・ わけ ・ わかれる ・ わかる ・ わかつ	part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100	general
不	フ ・ ブ	negative; non-; bad; ugly; clumsy	general
付	フ ・ つける ・ -つける ・ -づける ・ つけ ・ つけ- ・ -つけ ・ -づけ ・ -づけ ・ つく ・ -づく ・ つき ・ -つき ・ -つ	adhere; attach; refer to; append	general
夫	フ ・ フウ ・ ブ ・ おっと ・ それ	husband; man	general
府	フ	borough; urban prefecture; govt office; representative body; storehouse	general
八	ハチ ・ や ・ やつ ・ やっつ ・ よう	eight; eight radical (no. 12)	general
発	ハツ ・ ホツ ・ たつ ・ あばく ・ おこる ・ つかわす ・ はなつ	discharge; departure; publish; emit; start from; disclose; counter for gunshots	general
判	ハン ・ バン ・ わかる	judgement; signature; stamp; seal	general
半	ハン ・ なかば	half; middle; odd number; semi-; part-	general
反	ハン ・ ホン ・ タン ・ ホ ・ そる ・ そらす ・ かえす ・ かえる ・ -かえる	anti-	general
番	バン ・ つがい	turn; number in a series	general
比	ヒ ・ くらべる	compare; race; ratio; Philipines	general
被	ヒ ・ こうむる ・ おおう ・ かぶる ・ かぶせる	incur; cover; veil; brood over; shelter; wear; put on; be exposed (film); receiving	general
費	ヒ ・ ついやす ・ ついえる	expense; cost; spend; consume; waste	general
非	ヒ ・ あらず	un-; mistake; negative; injustice; non-	general
備	ビ ・ そなえる ・ そなわる ・ つぶさに	equip; provision; preparation	general
美	ビ ・ ミ ・ うつくしい	beauty; beautiful	general
必	ヒツ ・ かならず	invariably; certain; inevitable	general
百	ヒャク ・ ビャク ・ もも	hundred	general
票	ヒョウ	ballot; label; ticket; sign	general
表	ヒョウ ・ おもて ・ -おもて ・ あらわす ・ あらわれる ・ あらわす	surface; table; chart; diagram	general
評	ヒョウ	evaluate; criticism; comment	general
病	ビョウ ・ ヘイ ・ やむ ・ -やみ ・ やまい	ill; sick	general
品	ヒン ・ ホン ・ しな	goods; refinement; dignity; article; counter for meal courses	general
白	ハク ・ ビャク ・ しろ ・ しら- ・ しろい	white	general
売	バイ ・ うる ・ うれる	sell	general
南	ナン ・ ナ ・ みなみ	south	general
難	ナン ・ かたい ・ -がたい ・ むずかしい ・ むづかしい ・ むつかしい ・ -にくい	difficult; impossible; trouble; accident; defect	general
二	ニ ・ ジ ・ ふた ・ ふたつ ・ ふたたび	two; two radical (no.2)	general
日	ニチ ・ ジツ ・ ひ ・ -び ・ -か	day; sun; Japan; counter for days	general
入	ニュウ ・ ジュ ・ いる ・ -いる ・ -いり ・ いれる ・ -いれ ・ はいる	enter; insert	general
任	ニン ・ まかせる ・ まかす	responsibility; duty; term; entrust to; appoint	general
認	ニン ・ みとめる ・ したためる	acknowledge; witness; discern; recognize; appreciate; believe	general
年	ネン ・ とし	year; counter for years	general
念	ネン	wish; sense; idea; thought; feeling; desire; attention	general
能	ノウ ・ よく	ability; talent; skill; capacity	general
脳	ノウ ・ ドウ ・ のうずる	brain; memory	general
農	ノウ	agriculture; farmers	general
派	ハ	faction; group; party; clique; sect; school	general
配	ハイ ・ くばる	distribute; spouse; exile; rationing	general
頭	トウ ・ ズ ・ ト ・ あたま ・ かしら ・ -がしら ・ かぶり	head; counter for large animals	general
働	ドウ ・ リュク ・ リキ ・ ロク ・ リョク ・ はたらく	work; (kokuji)	general
動	ドウ ・ うごく ・ うごかす	move; motion; change; confusion; shift; shake	general
同	ドウ ・ おなじ	same; agree; equal	general
導	ドウ ・ みちびく	guidance; leading; conduct; usher	general
道	ドウ ・ トウ ・ みち	road-way; street; district; journey; course; moral; teachings	general
得	トク ・ える ・ うる	gain; get; find; earn; acquire; can; may; able to; profit; advantage; benefit	general
特	トク	special	general
独	ドク ・ トク ・ ひとり	single; alone; spontaneously; Germany	general
内	ナイ ・ ダイ ・ うち	inside; within; between; among; house; home	general
土	ド ・ ト ・ つち	soil; earth; ground; Turkey	general
党	トウ ・ なかま ・ むら	party; faction; clique	general
島	トウ ・ しま	island	general
投	トウ ・ なげる ・ -なげ	throw; discard; abandon; launch into; join; invest in; hurl; give up; sell at a loss	general
東	トウ ・ ひがし	east	general
当	トウ ・ あたる ・ あたり ・ あてる ・ あて ・ まさに ・ まさにべし	hit; right; appropriate; himself	general
答	トウ ・ こたえる ・ こたえ	solution; answer	general
統	トウ ・ すべる ・ ほびる	overall; relationship; ruling; governing	general
藤	トウ ・ ドウ ・ ふじ	wisteria	general
度	ド ・ ト ・ タク ・ たび ・ -たい	degrees; occurrence; time; counter for occurrences	general
渡	ト ・ わたる ・ -わたる ・ わたす	transit; ford; ferry; cross; import; deliver; diameter; migrate	general
都	ト ・ ツ ・ みやこ	metropolis; capital	general
張	チョウ ・ はる ・ -はり ・ -ばり	lengthen; counter for bows & stringed instruments; stretch; spread; put up (tent)	general
朝	チョウ ・ あさ	morning; dynasty; regime; epoch; period; (North) Korea	general
町	チョウ ・ まち	town; village; block; street	general
調	チョウ ・ しらべる ・ しらべ ・ ととのう ・ ととのえる	tune; tone; meter; key (music); writing style; prepare; exorcise; investigate	general
長	チョウ ・ ながい ・ おさ	long; leader	general
直	チョク ・ ジキ ・ ジカ ・ ただちに ・ なおす ・ -なおす ・ なおる ・ なおき ・ すぐ	straightaway; honesty; frankness; fix; repair	general
追	ツイ ・ おう	chase; drive away; follow; pursue; meanwhile	general
通	ツウ ・ ツ ・ とおる ・ とおり ・ -とおり ・ -どおり ・ とおす ・ とおし ・ -どおし ・ かよう	traffic; pass through; avenue; commute; counter for letters, notes, documents, etc.	general
低	テイ ・ ひくい ・ ひくめる ・ ひくまる	lower; short; humble	general
定	テイ ・ ジョウ ・ さだめる ・ さだまる ・ さだか	determine; fix; establish; decide	general
提	テイ ・ チョウ ・ ダイ ・ さげる	propose; take along; carry in hand	general
的	テキ ・ まと	bull's eye; mark; target; object; adjective ending	general
展	テン	unfold; expand	general
店	テン ・ みせ ・ たな	store; shop	general
転	テン ・ ころがる ・ ころげる ・ ころがす ・ ころぶ ・ まろぶ ・ うたた ・ うつる ・ くるめく	revolve; turn around; change	general
点	テン ・ つける ・ つく ・ たてる ・ さす ・ とぼす ・ ともす ・ ぼち	spot; point; mark; speck; decimal point	general
伝	デン ・ テン ・ つたわる ・ つたえる ・ つたう ・ つだう ・ -づたい ・ つて	transmit; go along; walk along; follow; report; communicate; legend; tradition	general
田	デン ・ た	rice field; rice paddy	general
電	デン	electricity	general
注	チュウ ・ そそぐ ・ さす ・ つぐ	pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate	general
段	ダン ・ タン	grade; steps; stairs	general
男	ダン ・ ナン ・ おとこ ・ お	male	general
談	ダン	discuss; talk	general
知	チ ・ しる ・ しらせる	know; wisdom	general
地	チ ・ ジ	ground; earth	general
置	チ ・ おく ・ -おき	placement; put; set; deposit; leave behind; keep; employ; pawn	general
着	チャク ・ ジャク ・ きる ・ -ぎ ・ きせる ・ -きせ ・ つく ・ つける	don; arrive; wear; counter for suits of clothing	general
中	チュウ ・ なか ・ うち ・ あたる	in; inside; middle; mean; center	general
断	ダン ・ たつ ・ ことわる ・ さだめる	severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting	general
宅	タク	home; house; residence; our house; my husband	general
沢	タク ・ さわ ・ うるおい ・ うるおす ・ つや	swamp	general
達	タツ ・ ダ ・ -たち	accomplished; reach; arrive; attain	general
担	タン ・ かつぐ ・ になう	shouldering; carry; raise; bear	general
団	ダン ・ トン ・ かたまり ・ まるい	group; association	general
代	ダイ ・ タイ ・ かわる ・ かわる ・ かわり ・ -がわり ・ かえる ・ よ ・ しろ	substitute; change; convert; replace; period; age; counter for decades of ages, eras, etc.; generation; charge; rate; fee	general
台	ダイ ・ タイ ・ うてな ・ われ ・ つかさ	pedestal; a stand; counter for machines and vehicles	general
大	ダイ ・ タイ ・ おお- ・ おおきい ・ -おおいに	large; big	general
第	ダイ ・ テイ	No.; residence	general
題	ダイ	topic; subject	general
退	タイ ・ しりぞく ・ しりぞける ・ ひく ・ のく ・ のける ・ どく	retreat; withdraw; retire; resign; repel; expel; reject	general
待	タイ ・ まつ ・ -まち	wait; depend on	general
態	タイ ・ わざと	attitude; condition; figure; appearance; voice (of verbs)	general
体	タイ ・ テイ ・ からだ ・ かたち	body; substance; object; reality; counter for images	general
対	タイ ・ ツイ ・ あいて ・ こたえる ・ そろい ・ つれあい ・ ならぶ ・ むかう	vis-a-vis; opposite; even; equal; versus; anti-; compare	general
想	ソウ ・ ソ ・ おもう	concept; think; idea; thought	general
早	ソウ ・ サッ ・ はやい ・ はや ・ はや- ・ はやまる ・ はやめる ・ さ-	early; fast	general
争	ソウ ・ あらそう ・ いかでか	contend; dispute; argue	general
相	ソウ ・ ショウ ・ あい-	inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy	general
総	ソウ ・ すべて ・ すべて ・ ふさ	general; whole; all; full; total	general
送	ソウ ・ おくる	escort; send	general
増	ゾウ ・ ます ・ まし ・ ふえる ・ ふやす	increase; add; augment; gain; promote	general
蔵	ゾウ ・ ソウ ・ くら ・ おさめる ・ かくれる	storehouse; hide; own; have; possess	general
造	ゾウ ・ つくる ・ つくり ・ -づくり	create; make; structure; physique	general
側	ソク ・ かわ ・ がわ ・ そば	side; lean; oppose; regret	general
足	ソク ・ あし ・ たりる ・ たる ・ たす	leg; foot; be sufficient; counter for pairs of footwear	general
族	ゾク	tribe; family	general
続	ゾク ・ ショク ・ コウ ・ キョウ ・ つづく ・ つづける ・ つぐない	continue; series; sequel	general
村	ソン ・ むら	village; town	general
多	タ ・ おおい ・ まさに ・ まさる	many; frequent; much	general
打	ダ ・ ダアス ・ うつ ・ うち- ・ ぶつ	strike; hit; knock; pound; dozen	general
組	ソ ・ くむ ・ くみ ・ -ぐみ	association; braid; plait; construct; assemble; unite; cooperate; grapple	general
訴	ソ ・ うったえる	accusation; sue; complain of pain; appeal to	general
席	セキ ・ むしろ	seat; mat; occasion; place	general
石	セキ ・ シャク ・ コク ・ いし	stone	general
切	セツ ・ サイ ・ きる ・ -きる ・ きり ・ -きり ・ -ぎり ・ きれる ・ -きれる ・ きれ ・ -きれ ・ -ぎれ	cut; cutoff; be sharp	general
設	セツ ・ もうける	establishment; provision; prepare	general
説	セツ ・ ゼイ ・ とく	rumor; opinion; theory	general
先	セン ・ さき ・ まず	before; ahead; previous; future; precedence	general
千	セン ・ ち	thousand	general
川	セン ・ かわ	stream; river; river or 3-stroke river radical (no. 47)	general
戦	セン ・ いくさ ・ たたかう ・ おののく ・ そよぐ ・ わななく	war; battle; match	general
線	セン ・ すじ	line; track	general
選	セン ・ えらぶ	elect; select; choose; prefer	general
鮮	セン ・ あざやか	fresh; vivid; clear; brilliant; Korea	general
前	ゼン ・ まえ ・ -まえ	in front; before	general
然	ゼン ・ ネン ・ しか ・ しかり ・ しかし ・ さ	sort of thing; so; if so; in that case; well	general
全	ゼン ・ まったく ・ すべて	whole; entire; all; complete; fulfill	general
税	ゼイ	tax; duty	general
政	セイ ・ ショウ ・ まつりごと ・ まん	politics; government	general
整	セイ ・ ととのえる ・ ととのう	organize; arranging; tune; tone; meter; key (music)	general
正	セイ ・ ショウ ・ ただしい ・ ただす ・ まさ ・ まさに	correct; justice; righteous; 10**40	general
生	セイ ・ ショウ ・ いきる ・ いかす ・ いける ・ うまれる ・ うまれ ・ うまれ ・ うむ ・ おう ・ はえる ・ はやす ・ き	life; genuine; birth	general
声	セイ ・ ショウ ・ こえ ・ こわ-	voice	general
製	セイ	made in...; manufacture	general
西	セイ ・ サイ ・ ス ・ にし	west; Spain	general
成	セイ ・ ジョウ ・ なる ・ なす ・ -なす	turn into; become; get; grow; elapse; reach	general
世	セイ ・ セ ・ ソウ ・ よ ・ さんじゅう	generation; world; society; public	general
制	セイ	system; law; rule	general
勢	セイ ・ ゼイ ・ いきおい ・ はずみ	forces; energy; military strength	general
性	セイ ・ ショウ ・ さが	sex; gender; nature	general
水	スイ ・ みず ・ みず-	water	general
数	スウ ・ ス ・ サク ・ ソク ・ シュ ・ かず ・ かぞえる ・ しばしば ・ せめる ・ わずらわしい	number; strength; fate; law; figures	general
常	ジョウ ・ つね ・ とこ-	usual; ordinary; normal; regular	general
情	ジョウ ・ セイ ・ なさけ	feelings; emotion; passion; sympathy; circumstances; facts	general
条	ジョウ ・ チョウ ・ デキ ・ えだ ・ すじ	article; clause; item; stripe; streak	general
状	ジョウ	status quo; conditions; circumstances; form; appearance	general
職	ショク ・ ソク	post; employment; work	general
食	ショク ・ ジキ ・ くう ・ くらう ・ たべる ・ はむ	eat; food	general
信	シン	faith; truth; fidelity; trust	general
審	シン ・ つまびらか ・ つぶさに	hearing; judge; trial	general
心	シン ・ こころ ・ -ごころ	heart; mind; spirit; heart radical (no. 61)	general
新	シン ・ あたらしい ・ あらた ・ あら- ・ にい-	new	general
深	シン ・ ふかい ・ -ぶかい ・ ふかまる ・ ふかめる ・ み-	deep; heighten; intensify; strengthen	general
申	シン ・ もうす ・ もうし- ・ さる	have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac	general
真	シン ・ ま ・ ま- ・ まこと	true; reality; Buddhist sect	general
神	シン ・ ジン ・ かみ ・ かん- ・ こう-	gods; mind; soul	general
親	シン ・ おや ・ おや- ・ したしい ・ したしむ	parent; intimacy; relative; familiarity; dealer (cards)	general
身	シン ・ み	somebody; person; one's station in life	general
進	シン ・ すすむ ・ すすめる	advance; proceed; progress; promote	general
人	ジン ・ ニン ・ ひと ・ -り ・ -と	person	general
場	ジョウ ・ チョウ ・ ば	location; place	general
初	ショ ・ はじめ ・ はじめて ・ はつ ・ はつ- ・ うい- ・ -そめる ・ -ぞめ	first time; beginning	general
所	ショ ・ ところ ・ -ところ ・ どころ ・ とこ	place	general
書	ショ ・ かく ・ -がき ・ -がき	write	general
助	ジョ ・ たすける ・ たすかる ・ すける ・ すけ	help; rescue; assist	general
女	ジョ ・ ニョ ・ ニョウ ・ おんな ・ め	woman; female	general
勝	ショウ ・ かつ ・ -がち ・ まさる ・ すぐれる ・ かつ	victory; win; prevail; excel	general
商	ショウ ・ あきなう	make a deal; selling; dealing in; merchant	general
小	ショウ ・ ちいさい ・ こ- ・ お- ・ さ-	little; small	general
少	ショウ ・ すくない ・ すこし	few; little	general
松	ショウ ・ まつ	pine tree	general
消	ショウ ・ きえる ・ けす	extinguish; blow out; turn off; neutralize; cancel	general
渉	ショウ ・ わたる	ford; ferry; port	general
証	ショウ ・ あかし	evidence; proof; certificate	general
象	ショウ ・ ゾウ ・ かたどる	elephant; pattern after; imitate; image; shape; sign (of the times)	general
賞	ショウ ・ ほめる	prize; reward; praise	general
上	ジョウ ・ ショウ ・ シャン ・ うえ ・ -うえ ・ うわ- ・ かみ ・ あげる ・ -あげる ・ あがる ・ -あがる ・ あがり ・ -あ	above; up	general
乗	ジョウ ・ ショウ ・ のる ・ -のり ・ のせる	ride; power; multiplication; record; counter for vehicles; board; mount; join	general
準	ジュン ・ じゅんじる ・ じゅんずる ・ なぞらえる ・ のり ・ ひとしい ・ みずもり	semi-; correspond to; proportionate to; conform; imitate	general
出	シュツ ・ スイ ・ でる ・ -で ・ だす ・ -だす ・ いでる ・ いだす	exit; leave	general
術	ジュツ ・ すべ	art; technique; skill; means; trick; resources; magic	general
述	ジュツ ・ のべる	mention; state; speak; relate	general
衆	シュウ ・ シュ ・ おおい	masses; great numbers; multitude; populace	general
集	シュウ ・ あつまる ・ あつめる ・ つどう	gather; meet; congregate; swarm; flock	general
住	ジュウ ・ ヂュウ ・ チュウ ・ すむ ・ すまう ・ -ずまい	dwell; reside; live; inhabit	general
十	ジュウ ・ ジッ ・ ジュッ ・ とお ・ と	ten	general
重	ジュウ ・ チョウ ・ え ・ おもい ・ おもり ・ おもなう ・ かさねる ・ かさなる ・ おも	heavy; heap up; pile up; nest of boxes; -fold	general
首	シュ ・ くび	neck; counter for songs and poems	general
受	ジュ ・ うける ・ -うけ ・ うかる	accept; undergo; answer (phone); take; get; catch; receive	general
収	シュウ ・ おさめる ・ おさまる	income; obtain; reap; pay; supply; store	general
州	シュウ ・ ス ・ す	state; province	general
終	シュウ ・ おわる ・ -おわる ・ おわる ・ おえる ・ つい ・ ついに	end; finish	general
手	シュ ・ ズ ・ て ・ て- ・ -て ・ た-	hand	general
種	シュ ・ たね ・ -ぐさ	species; kind; class; variety; seed	general
守	シュ ・ ス ・ まもる ・ まもり ・ もり ・ -もり ・ かみ	guard; protect; defend; obey	general
取	シュ ・ とる ・ とり ・ とり- ・ とり ・ -どり	take; fetch; take up	general
主	シュ ・ ス ・ シュウ ・ ぬし ・ おも ・ あるじ	lord; chief; master; main thing; principal	general
若	ジャク ・ ニャク ・ ニャ ・ わかい ・ わか- ・ もしくわ ・ もし ・ もしくは	young; if; perhaps; possibly; low number; immature	general
社	シャ ・ やしろ	company; firm; office; association; shrine	general
者	シャ ・ もの	someone; person	general
車	シャ ・ くるま	car	general
写	シャ ・ ジャ ・ うつす ・ うつる ・ うつ- ・ うつし	copy; be photographed; describe	general
自	ジ ・ シ ・ みずから ・ おのずから ・ おのずと	oneself	general
式	シキ	style; ceremony; rite; function; method; system; form; expression	general
識	シキ ・ しる ・ しるす	discriminating; know; write	general
七	シチ ・ なな ・ ななつ ・ なの	seven	general
失	シツ ・ うしなう ・ うせる	lose; error; fault; disadvantage; loss	general
質	シツ ・ シチ ・ チ ・ たち ・ ただす ・ もと ・ わりふ	substance; quality; matter; temperament	general
実	ジツ ・ シツ ・ み ・ みのる ・ まこと ・ まことに ・ みの ・ みちる	reality; truth	general
示	ジ ・ シ ・ しめす	show; indicate; point out; express; display	general
視	シ ・ みる	inspection; regard as; see; look at	general
試	シ ・ こころみる ・ ためす	test; try; attempt; experiment; ordeal	general
資	シ	assets; resources; capital; funds; data; be conducive to; contribute to	general
事	ジ ・ ズ ・ こと ・ つかう ・ つかえる	matter; thing; fact; business; reason; possibly	general
字	ジ ・ あざ ・ あざな ・ -な	character; letter; word; section of village	general
持	ジ ・ もつ ・ -もち ・ もてる	hold; have	general
時	ジ ・ とき ・ -どき	time; hour	general
次	ジ ・ シ ・ つぐ ・ つぎ	next; order; sequence	general
治	ジ ・ チ ・ おさめる ・ おさまる ・ なおる ・ なおす	reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve	general
思	シ ・ おもう ・ おもえらく ・ おぼす	think	general
指	シ ・ ゆび ・ さす ・ -さし	finger; point to; indicate; put into; play (chess); measure (ruler)	general
支	シ ・ ささえる ・ つかえる ・ かう	branch; support; sustain; branch radical (no. 65)	general
施	シ ・ セ ・ ほどこす	alms; apply bandages; administer first-aid	general
止	シ ・ とまる ・ -どまり ・ とめる ・ -とめる ・ -どめ ・ とどめる ・ とどめ ・ とどまる ・ やめる ・ やむ ・ -やむ ・ よ	stop; halt	general
死	シ ・ しぬ ・ しに-	death; die	general
氏	シ ・ うじ ・ -うじ	family name; surname; clan	general
私	シ ・ わたくし ・ わたし	private; I; me	general
四	シ ・ よ ・ よつ ・ よっつ ・ よん	four	general
始	シ ・ はじめる ・ -はじめる ・ はじまる	commence; begin	general
姿	シ ・ すがた	figure; form; shape	general
子	シ ・ ス ・ ツ ・ こ ・ -こ ・ ね	child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac	general
市	シ ・ いち	market; city; town	general
三	サン ・ ゾウ ・ み ・ みつ ・ みっつ	three	general
参	サン ・ シン ・ まいる ・ まい- ・ まじわる ・ みつ	nonplussed; three; going; coming; visiting; visit; be defeated; die; be madly in love	general
山	サン ・ セン ・ やま	mountain	general
産	サン ・ うむ ・ うまれる ・ うぶ- ・ むす	products; bear; give birth; yield; childbirth; native; property	general
算	サン ・ そろ	calculate; divining; number; abacus; probability	general
残	ザン ・ サン ・ のこる ・ のこす ・ そこなう ・ のこり	remainder; leftover; balance	general
仕	シ ・ ジ ・ つかえる	attend; doing; official; serve	general
使	シ ・ つかう ・ つかい ・ -つかい ・ -づかい	use	general
察	サツ	guess; presume; surmise; judge; understand	general
策	サク	scheme; plan; policy; step; means	general
裁	サイ ・ たつ ・ さばく	tailor; judge; decision; cut out (pattern)	general
際	サイ ・ きわ ・ -ぎわ	occasion; side; edge; verge; dangerous; adventurous; indecent; time; when	general
在	ザイ ・ ある	exist; outskirts; suburbs; located in	general
財	ザイ ・ サイ ・ ゾク ・ たから	property; money; wealth; assets	general
作	サク ・ サ ・ つくる ・ つくり ・ -づくり	make; production; prepare; build	general
昨	サク	yesterday; previous	general
差	サ ・ さす ・ さし	distinction; difference; variation; discrepancy; margin; balance	general
査	サ	investigate	general
再	サイ ・ サ ・ ふたたび	again; twice; second time	general
最	サイ ・ シュ ・ もっとも ・ つま	utmost; most; extreme	general
歳	サイ ・ セイ ・ とし ・ とせ ・ よわい	year-end; age; occasion; opportunity	general
済	サイ ・ セイ ・ すむ ・ -ずみ ・ -ずみ ・ すまない ・ すます ・ -すます ・ すくう ・ なす ・ わたし ・ わたる	finish; come to an end; excusable; need not	general
行	コウ ・ ギョウ ・ アン ・ いく ・ ゆく ・ -ゆき ・ -ゆき ・ -いき ・ -いき ・ おこなう ・ おこなう	going; journey	general
高	コウ ・ たかい ・ たか ・ -だか ・ たかまる ・ たかめる	tall; high; expensive	general
合	ゴウ ・ ガッ ・ カッ ・ あう ・ -あう ・ あい ・ あい- ・ -あい ・ -あい ・ あわす ・ あわせる ・ -あわせる	fit; suit; join; 0.1	general
告	コク ・ つげる	revelation; tell; inform; announce	general
国	コク ・ くに	country	general
今	コン ・ キン ・ いま	now	general
佐	サ	assistant; help	general
校	コウ ・ キョウ	exam; school; printing; proof; correction	general
構	コウ ・ かまえる ・ かまう	posture; build; pretend	general
港	コウ ・ みなと	harbor	general
考	コウ ・ かんがえる ・ かんがえ	consider; think over	general
公	コウ ・ ク ・ おおやけ	public; prince; official; governmental	general
